RGB;NOTE;;;;;
208,72,154;C;;;;;
236,24,121;C#;;;;;
236,28,35;D;;;;;
250,164,23;D#;;;;;
241,235,32;E;;;;;
154,201,59;F;;;;;
113,193,82;F#;;;;;
111,197,164;G;;;;;
59,184,235;G#;;;;;
67,111,182;A;;;;;
90,80,162;A#;;;;;
134,80,160;B;;;;;
214,111,171;C;;;;;
237,95,141;C#;;;;;
240,90,65;D;;;;;
251,181,75;D#;;;;;
244,235,98;E;;;;;
173,211,96;F;;;;;
141,199,116;F#;;;;;
136,209,181;G;;;;;
109,192,236;G#;;;;;
101,133,193;A;;;;;
117,105,174;A#;;;;;
154,108,177;B;;;;;
223,144,189;C;;;;;
243,135,166;C#;;;;;
243,134,99;D;;;;;
254,197,119;D#;;;;;
248,239,139;E;;;;;
191,222,135;F;;;;;
170,213,150;F#;;;;;
171,219,196;G;;;;;
149,207,242;G#;;;;;
134,153,205;A;;;;;
143,134,190;A#;;;;;
171,137,190;B;;;;;
230,179,209;C;;;;;
247,174,193;C#;;;;;
248,168,141;D;;;;;
255,215,161;D#;;;;;
249,244,176;E;;;;;
212,228,174;F;;;;;
196,225,181;F#;;;;;
196,228,213;G;;;;;
183,221,244;G#;;;;;
169,182,220;A;;;;;
175,167,210;A#;;;;;
196,171,211;B;;;;;
241,214,232;C;;;;;
250,213,221;C#;;;;;
253,210,191;D;;;;;
254,234,204;D#;;;;;
252,249,215;E;;;;;
231,241,212;F;;;;;
225,239,216;F#;;;;;
226,240,232;G;;;;;
220,236,250;G#;;;;;
209,214,236;A;;;;;
209,206,233;A#;;;;;
222,210,229;B;;;;;